Topic 00		32404.552384046314
	energy	1463.6550632510362
	fuel	496.79298243770955
	costs	254.8941278918187
	alaskans	227.47880263399472
	prices	215.49903257847507
	oil	205.48283875579818
	cost	205.32690193221543
	nome	191.41391503997573
	mine	188.63445766938113
	now	187.5279908054681
	high	174.6452468727371
	home	168.16112711513696
	public	160.67260330780684
	being	156.46554951417036
	crisis	151.9304845258277
	resource	151.73545519777366
	power	150.77371374622118
	price	149.112030822743
	fairbanks	148.57602813231324
	need	143.3486488351403


Topic 01		42604.72510548156
	information	927.7852450341968
	email	730.3922473373754
	letter	597.2559120048513
	contact	502.64348297642096
	attached	492.9662641137104
	phone	487.91456808825853
	questions	449.81974079694305
	2008	416.56312587240916
	thank	346.4726745862199
	request	345.2843389338535
	page	336.43260702621546
	use	330.50171472814435
	cell	308.4128652089521
	fax	285.22861522180096
	call	281.45437064233295
	personal	271.08599090123187
	regarding	250.58583051663734
	need	246.61272839296504
	copy	243.76044596926232
	draft	230.7452465232971


Topic 02		74904.35708181706
	you	827.3426553992376
	meeting	822.4661719610957
	thanks	780.7285620620777
	good	767.8477666140358
	talk	696.1153227322799
	today	654.6348603421862
	going	643.3504340669372
	want	618.8405980713493
	week	607.8454801570801
	work	563.3211281657584
	next	549.327303503836
	call	544.2825327226776
	don	529.5558819658223
	think	502.7750087163504
	see	496.16277682033893
	need	464.3403495668083
	back	462.14380939863906
	take	450.58058077255333
	very	449.4267001572096
	well	446.062267370389


Topic 03		33431.268486360575
	roston	2386.8697858075147
	west	2298.4800369174272
	released	2220.316118621761
	presented	2205.83566488617
	crivella	2106.949414898576
	todd	709.4881622915655
	house	600.3051133362039
	erika	552.3092405902175
	juneau	442.1426632966214
	10/14/2009	391.9198174025013
	phone	319.4494537669549
	fax	276.6741529798212
	thanks	268.9159001028255
	first	244.43648667318777
	fagerstrom	226.29566175877397
	residence	216.7456296650475
	avenue	211.50684818635165
	manager	206.65494053663764
	99801	205.72731176297359
	family	195.6965932164449


Topic 04		12481.945985525901
	<http	465.9546477908276
	=fe38167174660474771270	365.99999781956
	net	344.552726141318
	news	343.9956627529766
	=fec516737161017a	305.99999565253063
	=ffcfl4	304.99999589033007
	<http://	267.1722258016202
	=fef911737c6706	266.99996162752524
	cl.exct.net	230.9999950391945
	cl.exct	211.99999730746248
	=fdf315747d6c007e7510737c	204.9999977621237
	=ffcfl4&t=>	176.99986757980724
	<http://cl.exct.net/?	158.99994333910917
	exxon	147.1741007832494
	daily	142.5357515447464
	chuck	140.79408886473837
	email	134.43853326991814
	=fdf3l5747d6c007e7510737c	116.99999790134736
	=fec5l6737161017a	97.9999970845129
	assets	93.29517128457661


Topic 05		50088.93319319625
	e-mail	1823.2283778036185
	@yahoo.com	1606.3548965669572
	gov.sarah	1535.5094649981343
	tibbles	1335.7407220963842
	redact	1245.9831580289324
	michael	1237.6089637708023
	parnell	1232.748845292825
	sponsored	1041.3221305772227
	perry	941.5251227624167
	dnr	916.9580662622185
	sarah	890.775654458672
	privilege	824.8473459097662
	email	799.3233591076487
	redacted	733.5685126498282
	sec	651.866097702477
	balash	646.91045268874
	irwin	635.758896161725
	communication	614.0795506456486
	law	601.8503842385018
	constitution	590.1173238320955


Topic 06		60258.72988437292
	gas	2706.6769778720527
	oil	1594.9198835613734
	pipeline	1391.2390137694442
	agia	940.4022882676647
	project	829.4194816652728
	natural	676.0400866012496
	north	507.66118266245167
	producers	459.4718826440851
	companies	458.0433348766744
	tax	445.73804549635247
	company	441.91407849539394
	energy	399.2521283746559
	development	378.63487456389316
	slope	357.17996053606964
	production	345.73749856713187
	resources	322.33240450714493
	line	312.63616835050516
	gasline	285.70120490822933
	transcanada	276.3010582213806
	plan	273.766219461274


Topic 07		17706.69351527783
	frank	246.15939270009648
	great	208.3121095209015
	spam	199.82795020581966
	yahoo	199.09400485926466
	food	159.01318742257638
	team	148.91449875436524
	juneau	148.89651207699586
	sarah	144.46742486749616
	april	135.5988848367423
	best	128.07003257123918
	name	126.29929406994601
	thank	124.95930081688215
